id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
11859,Fair Game,1995-11-03,1995.0,91.0,50000000.0,11534477.0,11534477.0,17.72753358339242,91.0,11.0,1.9332912937128053,4.1,4.007333185232471,18,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28387,Kicking and Screaming,1995-10-06,1995.0,96.0,0.0,718490.0,718490.0,0.0,96.0,10.0,1.474139473788652,7.0,3.6109179126442243,21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20927,Bed of Roses,1996-01-26,1996.0,87.0,0.0,19030691.0,19030691.0,0.0,87.0,1.0,2.434682432856253,5.1,3.332204510175204,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36929,Big Bully,1996-01-26,1996.0,90.0,15000000.0,2042530.0,2042530.0,16.52356082573315,90.0,1.0,1.3702775236696476,3.9,2.833213344056216,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9102,Screamers,1995-09-08,1995.0,108.0,20000000.0,5781885.0,5781885.0,16.811242881518265,108.0,9.0,2.621682108070172,6.1,5.043425116919247,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
400,Things to Do in Denver When You're Dead,1995-12-01,1995.0,116.0,8000000.0,529766.0,529766.0,15.894952224644102,116.0,12.0,1.7022320204920451,6.7,4.477336814478207,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10534,White Squall,1996-02-02,1996.0,129.0,38000000.0,10300000.0,10300000.0,17.453096744006448,129.0,2.0,2.3578877192582763,6.3,4.465908118654584,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13997,Black Sheep,1996-02-01,1996.0,87.0,0.0,32.0,32.0,0.0,87.0,2.0,2.298881944796664,6.0,4.8283137373023015,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,Nick of Time,1995-11-22,1995.0,90.0,8169363.0,8175346.0,8175346.0,15.915901618028812,90.0,11.0,2.0603340252381193,6.1,5.25227342804663,12,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9095,Mary Reilly,1996-02-23,1996.0,104.0,47000000.0,12379402.0,12379402.0,17.665658180950928,104.0,2.0,2.629449824990463,5.7,4.356708826689592,11,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
12158,Vampire in Brooklyn,1995-10-26,1995.0,100.0,14000000.0,19800000.0,19800000.0,16.454567959008102,100.0,10.0,2.3096726170521897,4.5,4.736198448394496,9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
9208,Broken Arrow,1996-02-09,1996.0,108.0,50000000.0,150270147.0,150270147.0,17.72753358339242,108.0,2.0,2.7699368340905823,5.7,6.131226489483141,15,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
13685,Bottle Rocket,1996-02-21,1996.0,91.0,7000000.0,560069.0,560069.0,15.76142084987672,91.0,2.0,2.0674740915587737,6.8,5.655991810819852,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9614,Happy Gilmore,1996-02-16,1996.0,92.0,12000000.0,41205099.0,41205099.0,16.300417291085605,92.0,2.0,2.3601240177638605,6.5,6.643789733147672,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688,The Bridges of Madison County,1995-05-28,1995.0,135.0,24000000.0,182016617.0,182016617.0,16.993564429978885,135.0,5.0,1.938896611599793,7.3,5.986452005284438,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10874,Muppet Treasure Island,1996-02-16,1996.0,100.0,0.0,34327391.0,34327391.0,0.0,100.0,2.0,2.0671694213081877,6.5,4.543294782270004,12,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
197,Braveheart,1995-05-24,1995.0,177.0,72000000.0,210000000.0,210000000.0,18.09217669086922,177.0,5.0,3.079850465149419,7.7,8.133000218583613,55,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
103,Taxi Driver,1976-02-07,1976.0,114.0,1300000.0,28262574.0,28262574.0,14.077875591662238,114.0,2.0,2.7142120445588755,8.1,7.87587915949631,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
